,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
660,66,87kin9jpfaaofv_data.csv,1,38,Female,American,English,1,11,They were both playing with the same toy/object. They seemed to interact well and communicated with words. They both seemed to be getting along.,1,3,2,3,1,1,3,3,1,1,3,2,1,3,3,3,1,1,3,3,1,1,1,1,1,1,2,2,2,2,0,-2,0,2,0,-2,1,1,2,0,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,0,0,0
661,66,87kin9jpfaaofv_data.csv,1,38,Female,American,English,2,04,"They seemed to be playing independently for the most part. The child on the right seemed to be doing her own thing, while the child on the left was doing something different. It looked like parallel play more than anything else.",2,1,4,1,2,2,2,2,2,1,2,1,1,3,2,2,3,1,1,3,3,1,1,1,3,1,2,2,1,1,0,0,0,0,1,-1,1,-1,2,0,0,0,2,0,2,0,2,0,0,-2,2,0,0,0,0,-2
662,66,87kin9jpfaaofv_data.csv,1,38,Female,American,English,3,09,"At first they seemed to be playing independently, but as the video progressed, they seemed to be playing with the same object. There was communication between them.",1,3,1,3,2,2,2,2,1,1,2,2,3,3,3,3,1,1,3,3,2,1,2,1,1,1,2,2,2,2,0,0,0,0,0,-2,0,0,0,2,0,2,0,-2,0,2,1,-1,1,-1,0,-2,0,0,0,0
663,66,87kin9jpfaaofv_data.csv,1,38,Female,American,English,4,18,They didn't seem to be playing well. The child on the right was aggressive in dealing with the one on the left.,2,1,3,1,3,1,1,1,3,3,2,2,3,1,2,1,1,4,2,3,2,2,3,1,3,2,1,3,3,1,2,0,0,-2,0,2,0,0,2,0,1,-1,3,1,1,1,0,0,2,0,1,1,2,0,2,0
680,6,8kin1coj77ab4_data.csv,1,25,Female,American,English,1,10,"I didn't notice anything about them, I couldn't figure out what they're supposed to be doing. All I know is one brought their hands up to their face momentarily. ",2,3,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
681,6,8kin1coj77ab4_data.csv,1,25,Female,American,English,2,05,The left one appeared to be typing something and the one the right was cleaning,1,3,3,2,2,2,2,2,1,1,1,2,3,2,2,2,0,1,1,3,2,2,3,2,2,1,2,2,2,2,0,0,0,0,0,-2,1,-1,1,1,0,0,1,-3,2,0,0,0,1,1,1,-1,0,0,0,0
682,6,8kin1coj77ab4_data.csv,1,25,Female,American,English,3,02,I can't really tell what they're supposed to be doing at all.,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,6,8kin1coj77ab4_data.csv,1,25,Female,American,English,4,17,"I can't figure out what they are supposed to be doing, it looks random to me.",2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
688,65,8king9hbhgmqn_data.csv,1,38,Female,American,English,1,19,It seemed like they were playing with a keyboard.,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,3,3,1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,2,0,1,1
689,65,8king9hbhgmqn_data.csv,1,38,Female,American,English,2,10,They were also playing with a keyboard or something together.,2,3,1,3,2,2,2,2,2,2,3,3,1,3,2,2,2,2,3,3,2,2,2,2,2,2,1,3,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,-2
